NM number	Gene name	Gene Family	Category	Expression Value - stimulus	Expression Value + stimulus
NM_0003482	LRP4	Hox gene family	Regulatory protein gene families	0.125	0.134
NM_0002074	MYBPC3	NOD-like receptors	Immune system proteins	0.961	0.978
NM_0008730	RAPSN	ABC transporters	Transporters	0.725	0.755
NM_0003115	SERPING1	DLX gene family	Regulatory protein gene families	0.522	0.552
NM_0003798	FAM111A	Solute carrier family	Transporters	0.866	0.818
NM_0006298	TMEM216	Rap family	Signal transducing proteins	0.772	0.734
NM_0005969	SDHAF2	Toll-like receptors	Immune system proteins	0.713	0.702
NM_0008863	BEST1	Globin	Transporters	0.275	0.255
NM_0007463	ROM1	Expansin gene family	Transporters	0.45	0.417
NM_0006993	BSCL2	Arf family	Signal transducing proteins	0.257	0.27
NM_0008350	PYGM	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.039	0.04
NM_0009902	MEN1	RIG-I like receptors	Immune system proteins	0.817	0.777
NM_0008640	RNASEH2C	Monoamine transporter	Transporters	0.241	0.221
NM_0005358	EFEMP2	DLX gene family	Regulatory protein gene families	0.681	0.63
NM_0007552	PACS1	Expansin gene family	Transporters	0.78	0.826
NM_0003311	BBS1	Receptor tyrosine kinases	Signal transducing proteins	0.005	0.005
NM_0003870	SPTBN2	Janus kinases	Signal transducing proteins	0.418	0.455
NM_0004785	NDUFV1	ATCase/OTCase family	Transporters	0.406	0.426
NM_0002137	NDUFS8	Expansin gene family	Transporters	0.592	0.553
NM_0007803	TCIRG1	Pattern recognition receptor	Immune system proteins	0.25	0.226
NM_0009437	LRP5	Fibroblast growth factor receptors (FGFR)	Transporters	0.769	0.836
NM_0009350	CPT1A	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.48	0.469
NM_0004060	IGHMBP2	Olfactory receptor	Signal transducing proteins	0.963	0.896
NM_0007022	DHCR7	NOD-like receptors	Immune system proteins	0.33	0.36
NM_0002445	LRTOMT	Glutamate transporter	Transporters	0.331	0.336
NM_0005125	CLPB	GABA transporter	Transporters	0.948	0.983
NM_0004377	KCNE3	Aquaporins	Transporters	0.286	0.307
NM_0007241	MYO7A	Arf family	Signal transducing proteins	0.689	0.622
NM_0007602	ALG8	Glutamate transporter	Transporters	0.797	0.742
NM_0003473	TMEM126A	Heat shock factor	Transporters	0.187	0.194
NM_0004715	FZD4	Arf family	Signal transducing proteins	0.281	0.288
NM_0004912	CTSC	Fibroblast growth factor receptors (FGFR)	Transporters	0.975	1.022
NM_0009946	TYR	Solute carrier family	Transporters	0.069	0.074
NM_0004711	MRE11A	Arf family	Signal transducing proteins	0.378	0.366
NM_0004842	MTMR2	Papain-like protease	Transporters	0.967	0.897
NM_0006735	TRPC6	RIG-I like receptors	Immune system proteins	0.636	0.665
NM_0006695	MMP20	Serine/threonine-specific protein kinase	Signal transducing proteins	0.638	0.675
NM_0001559	MMP13	NF-kB	Regulatory protein gene families	0.769	0.723
NM_0002060	DYNC2H1	G-proteins	Signal transducing proteins	0.345	0.372
NM_0007949	ACAT1	ABC transporters	Transporters	0.369	0.39
NM_0008655	ATM	Aquaporins	Transporters	0.352	0.367
NM_0004674	ALG9	DLX gene family	Regulatory protein gene families	0.799	0.845
NM_0003306	CRYAB	Rap family	Signal transducing proteins	0.323	0.329
NM_0001040	DLAT	Transcription factors	Regulatory protein gene families	0.892	0.84
NM_0005133	SDHD	NF-kB	Regulatory protein gene families	0.054	0.051
NM_0009733	DRD2	Serine/threonine-specific protein kinase	Signal transducing proteins	0.03	0.032
NM_0003975	IL10RA	Janus kinases	Signal transducing proteins	0.892	0.911
NM_0009180	SCN2B	Myosin	Motor proteins	0.036	0.035
NM_0004474	CD3G	Peroxiredoxin	Signal transducing proteins	0.645	0.683
NM_0003659	KMT2A	Immunoglobulin superfamily	Immune system proteins	0.97	0.952
NM_0004475	HMBS	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.263	0.271
NM_0004893	DPAGT1	Antiporter	Transporters	0.575	0.624
NM_0002859	CBL	ABC transporters	Transporters	0.602	0.578
NM_0002546	MFRP	Rap family	Signal transducing proteins	0.381	0.41
NM_0002046	TECTA	FH2 protein (formin) gene family	Transporters	0.062	0.066
NM_0006082	SCN3B	Heat shock factor	Transporters	0.058	0.06
NM_0004477	HEPACAM	Neurotransmitter transporter	Transporters	0.388	0.383
NM_0004137	CDON	GATA transcription factor	Regulatory protein gene families	0.192	0.174
NM_0004579	FOXRED1	MADS-box gene family	Regulatory protein gene families	0.198	0.213
NM_0005231	KCNJ5	General transcription factor	Regulatory protein gene families	0.265	0.27
NM_0006281	ACAD8	Heat shock factor	Transporters	0.059	0.06
NM_0005292	WNK1	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.605	0.623
NM_0002777	CACNA2D4	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.557	0.503
NM_0009319	FGF23	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.886	0.823
NM_0007929	KCNA5	SRC kinase family	Signal transducing proteins	0.801	0.779
NM_0007614	VWF	Antiporter	Transporters	0.896	0.936
NM_0008931	TNFRSF1A	Membrane-spanning 4A	Transporters	0.684	0.703
NM_0006376	SCNN1A	Rho family	Signal transducing proteins	0.795	0.874
NM_0004547	GDF3	Antiporter	Transporters	0.061	0.06
NM_0004498	A2ML1	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.021	0.02
NM_0003862	CDKN1B	Monoamine transporter	Transporters	0.529	0.567
NM_0006902	MGP	RIG-I like receptors	Immune system proteins	0.905	0.918
NM_0007867	SLCO1B3	Equilibrative nucleoside transporter family	Transporters	0.666	0.616
NM_0005262	SLCO1B1	Cyclin dependent kinases	Regulatory protein gene families	0.072	0.067
NM_0008129	GYS2	CDK inhibitors	Regulatory protein gene families	0.844	0.876
NM_0006900	KCNJ8	Pattern recognition receptor	Immune system proteins	0.55	0.527
NM_0001665	ABCC9	Heat shock proteins	Transporters	0.698	0.686
NM_0007085	KRAS	Major facilitator superfamily	Transporters	0.351	0.325
NM_0002647	DNM1L	14-3-3 protein family	Regulatory protein gene families	0.382	0.376
NM_0004783	PKP2	Cyclin dependent kinases	Regulatory protein gene families	0.327	0.301
NM_0006432	LRRK2	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.317	0.289
NM_0003697	PRICKLE1	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.462	0.485
NM_0001747	IRAK4	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.092	0.084
NM_0008108	VDR	Expansin gene family	Transporters	0.903	0.939
NM_0006927	COL2A1	CDK inhibitors	Regulatory protein gene families	0.699	0.762
NM_0002518	PFKM	Heat shock proteins	Transporters	0.6	0.569
NM_0004684	KMT2D	GABA transporter	Transporters	0.074	0.076
NM_0003370	TUBA1A	Protocadherin gene family	Transporters	0.603	0.635
NM_0009421	SCN8A	Immunoglobulin superfamily	Immune system proteins	0.163	0.148
NM_0007288	ACVRL1	Cyclin dependent kinases	Regulatory protein gene families	0.9	0.936
NM_0007289	KRT85	Serine/threonine-specific protein kinase	Signal transducing proteins	0.063	0.06
NM_0001628	KRT5	Major histocompatibility complex (MHC)	Immune system proteins	0.633	0.64
NM_0003491	KRT74	Antiporter	Transporters	0.69	0.656
NM_0003393	AAAS	DHH phosphatase family	Transporters	0.959	1.039
NM_0005737	RDH5	Heat shock proteins	Transporters	0.251	0.265
NM_0004701	MIP	Cyclin dependent kinases	Regulatory protein gene families	0.935	0.884
NM_0001870	MYO1A	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.147	0.153
NM_0006256	STAC3	Peroxin	Transporters	0.194	0.183
NM_0006330	MARS	Rab family	Signal transducing proteins	0.623	0.587
NM_0005998	KIF5A	Immunoglobulin superfamily	Immune system proteins	0.882	0.869
NM_0003490	B4GALNT1	Neurotransmitter transporter	Transporters	0.464	0.482
NM_0007110	CDK4	Rho family	Signal transducing proteins	0.238	0.248
NM_0008772	CYP27B1	Dynein	Motor proteins	0.476	0.5
NM_0005620	GRIP1	MAP Kinase	Signal transducing proteins	0.264	0.286
NM_0003183	BBS10	Monoamine transporter	Transporters	0.67	0.698
NM_0006963	MYF6	MADS-box gene family	Regulatory protein gene families	0.68	0.664
NM_0007781	CEP290	Kinesin	Motor proteins	0.863	0.915
NM_0002495	TMPO	Cyclins	Regulatory protein gene families	0.552	0.574
NM_0004953	SLC17A8	Ras family	Signal transducing proteins	0.99	0.899
NM_0003605	GNPTAB	Dynein	Motor proteins	0.973	0.991
NM_0003538	PAH	Dynein	Motor proteins	0.641	0.589
NM_0002080	MMAB	Globin	Transporters	0.582	0.632
NM_0003506	MVK	Rap family	Signal transducing proteins	0.808	0.76
NM_0003214	TRPV4	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.755	0.733
NM_0005187	MYL2	Receptor tyrosine kinases	Signal transducing proteins	0.702	0.734
NM_0004567	PTPN11	Aquaporins	Transporters	0.541	0.557
NM_0007101	TBX5	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.75	0.678
NM_0002910	ACADS	Non-receptor tyrosine kinase	Signal transducing proteins	0.794	0.778
NM_0009308	ATP6V0A2	14-3-3 protein family	Regulatory protein gene families	0.19	0.197
NM_0008667	PUS1	P300-CBP coactivator family	Regulatory protein gene families	0.724	0.772
NM_0004587	POLE	POU family	Regulatory protein gene families	0.447	0.469
NM_0009173	GJA3	NF-kB	Regulatory protein gene families	0.263	0.282
NM_0004739	GJB2	SNARE family	Transporters	0.802	0.848
NM_0004634	GJB6	Aquaporins	Transporters	0.208	0.218
NM_0006768	SGCG	Hox gene family	Regulatory protein gene families	0.415	0.394
NM_0005094	SACS	Heat shock proteins	Transporters	0.46	0.416
NM_0005336	CENPJ	Antiporter	Transporters	0.356	0.379
NM_0003781	PDX1	Cyclins	Regulatory protein gene families	0.988	0.954
NM_0002794	B3GALTL	General transcription factor	Regulatory protein gene families	0.787	0.855
NM_0005894	EXOSC8	Ras family	Signal transducing proteins	0.813	0.77
NM_0009710	COG6	Papain-like protease	Transporters	0.875	0.863
NM_0004829	SLC25A15	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.601	0.652
NM_0009045	LACC1	Peroxin	Transporters	0.03	0.031
NM_0007733	SUCLA2	Peroxiredoxin	Signal transducing proteins	0.654	0.706
NM_0006824	RB1	Rap family	Signal transducing proteins	0.418	0.435
NM_0008872	RNASEH2B	GABA transporter	Transporters	0.866	0.833
NM_0002604	ATP7B	P300-CBP coactivator family	Regulatory protein gene families	0.164	0.171
NM_0005783	ALG11	G-proteins	Signal transducing proteins	0.362	0.34
NM_0005655	EDNRB	Bacterial potassium transporter	Transporters	0.38	0.406
NM_0001730	PCCA	MAP Kinase	Signal transducing proteins	0.17	0.181
NM_0008751	BIVM-ERCC5	Globin	Transporters	0.604	0.622
NM_0005595	LIG4	Heat shock proteins	Transporters	0.852	0.786
NM_0007180	COL4A2	Antiporter	Transporters	0.665	0.718
NM_0007129	F7	Dynein	Motor proteins	0.11	0.119
NM_0009412	PNP	SNARE family	Transporters	0.926	0.89
NM_0004127	ANG	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.653	0.691
NM_0001562	RPGRIP1	Rho family	Signal transducing proteins	0.4	0.388
NM_0002765	SLC7A7	Fibroblast growth factors (FGF)	Transporters	0.265	0.287
NM_0005385	MYH6	Major histocompatibility complex (MHC)	Immune system proteins	0.266	0.249
NM_0008223	MYH7	Peroxin	Transporters	0.678	0.671
NM_0005317	TINF2	NOD-like receptors	Immune system proteins	0.64	0.683
NM_0008866	TGM1	DLX gene family	Regulatory protein gene families	0.825	0.862
NM_0003708	FOXG1	DLX gene family	Regulatory protein gene families	0.863	0.812
NM_0005971	COCH	Rap family	Signal transducing proteins	0.592	0.65
NM_0006776	PAX9	Immunoglobulin superfamily	Immune system proteins	0.347	0.32
NM_0008868	FANCM	Roundabout family	Transporters	0.275	0.298
NM_0002192	DNAAF2	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.671	0.648
NM_0004576	ATL1	Neurotransmitter transporter	Transporters	0.604	0.654
NM_0003265	PYGL	Globin	Transporters	0.835	0.85
NM_0004187	BMP4	Neurotransmitter transporter	Transporters	0.49	0.527
NM_0007865	GCH1	Papain-like protease	Transporters	0.605	0.621
NM_0003679	SIX6	NOD-like receptors	Immune system proteins	0.954	0.884
NM_0002379	SYNE2	Major histocompatibility complex (MHC)	Immune system proteins	0.219	0.2
NM_0001266	SPTB	ABC transporters	Transporters	0.56	0.59
NM_0005553	PSEN1	Fibroblast growth factor receptors (FGFR)	Transporters	0.644	0.681
NM_0005490	VSX2	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.288	0.274
NM_0003029	ABCD4	Cyclin dependent kinases	Regulatory protein gene families	0.891	0.973
NM_0004800	NPC2	Roundabout family	Transporters	0.819	0.794
NM_0005956	ISCA2	Olfactory receptor	Signal transducing proteins	0.084	0.076
NM_0006631	LTBP2	Serine/threonine-specific protein kinase	Signal transducing proteins	0.987	0.962
NM_0003366	EIF2B2	Bacterial potassium transporter	Transporters	0.811	0.751
NM_0002155	MLH3	Fibroblast growth factors (FGF)	Transporters	0.389	0.403
NM_0009702	FLVCR2	Rab family	Signal transducing proteins	0.694	0.732
NM_0002351	TGFB3	Myosin	Motor proteins	0.718	0.741
NM_0001490	ESRRB	MADS-box gene family	Regulatory protein gene families	0.113	0.105
NM_0009932	POMT2	NOTCH2NL	Regulatory protein gene families	0.663	0.693
NM_0003288	GALC	Equilibrative nucleoside transporter family	Transporters	0.333	0.359
NM_0009616	SPATA7	G-proteins	Signal transducing proteins	0.396	0.359
NM_0007836	TDP1	SRC kinase family	Signal transducing proteins	0.196	0.201
NM_0002400	CALM1	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.948	0.977
NM_0001498	FBLN5	Heat shock factor	Transporters	0.566	0.602
NM_0008022	TRIP11	P300-CBP coactivator family	Regulatory protein gene families	0.942	0.954
NM_0005172	SERPINA6	Toll-like receptors	Immune system proteins	0.635	0.61
NM_0004848	SERPINA1	Antiporter	Transporters	0.215	0.225
NM_0004261	SERPINA3	Fibroblast growth factors (FGF)	Transporters	0.145	0.157
NM_0002665	DYNC1H1	Arf family	Signal transducing proteins	0.257	0.236
NM_0009572	APOPT1	Nuclear receptor	Regulatory protein gene families	0.724	0.769
NM_0006295	INF2	Receptor tyrosine kinases	Signal transducing proteins	0.179	0.161
NM_0002471	NIPA1	Aquaporins	Transporters	0.91	0.999
NM_0009097	OCA2	Ion channels	Transporters	0.588	0.547
NM_0006006	TRPM1	GABA transporter	Transporters	0.559	0.532
NM_0009104	ACTC1	MAP Kinase	Signal transducing proteins	0.426	0.391
NM_0004143	BUB1B	Families containing homeobox domains	Regulatory protein gene families	0.361	0.35
NM_0001821	CASC5	Expansin gene family	Transporters	0.354	0.344
NM_0005934	NDUFAF1	MAP Kinase	Signal transducing proteins	0.743	0.813
NM_0009145	CAPN3	Glycine transporter	Transporters	0.638	0.65
NM_0001686	CDAN1	Major facilitator superfamily	Transporters	0.154	0.163
NM_0004427	TTBK2	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.246	0.261
NM_0008469	TGM5	ABC transporters	Transporters	0.016	0.015
NM_0007614	SPG11	Pattern recognition receptor	Immune system proteins	0.947	0.995
NM_0008431	DUOX2	P300-CBP coactivator family	Regulatory protein gene families	0.59	0.544
NM_0001059	GATM	Janus kinases	Signal transducing proteins	0.755	0.735
NM_0001869	SLC12A1	DLX gene family	Regulatory protein gene families	0.287	0.303
NM_0007307	CEP152	Expansin gene family	Transporters	0.766	0.82
NM_0005234	AP4E1	Peroxin	Transporters	0.69	0.745
NM_0005499	CYP19A1	FH2 protein (formin) gene family	Transporters	0.997	1.042
NM_0003049	WDR72	DLX gene family	Regulatory protein gene families	0.438	0.401
NM_0009437	DYX1C1	Olfactory receptor	Signal transducing proteins	0.242	0.249
NM_0009970	LIPC	Globin	Transporters	0.321	0.336
NM_0008074	TPM1	Pattern recognition receptor	Immune system proteins	0.235	0.216
NM_0004487	MTFMT	Toll-like receptors	Immune system proteins	0.455	0.413
NM_0003537	SLC24A1	Transcription factors	Regulatory protein gene families	0.702	0.73
NM_0001613	MAP2K1	Serine/threonine-specific protein kinase	Signal transducing proteins	0.415	0.43
NM_0003138	SMAD3	Ras family	Signal transducing proteins	0.599	0.577
NM_0005346	CLN6	Rab family	Signal transducing proteins	0.583	0.55
NM_0006338	NR2E3	Heat shock proteins	Transporters	0.598	0.629
NM_0007673	HEXA	NF-kB	Regulatory protein gene families	0.888	0.92
NM_0002767	BBS4	Peroxin	Transporters	0.062	0.059
NM_0001076	STRA6	14-3-3 protein family	Regulatory protein gene families	0.248	0.225
NM_0007136	MPI	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.363	0.395
NM_0005901	ETFA	SOX gene family	Regulatory protein gene families	0.122	0.127
NM_0001917	FAH	Roundabout family	Transporters	0.512	0.462
NM_0004733	FANCI	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.263	0.276
NM_0002280	POLG	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.616	0.625
NM_0006001	KIF7	NOTCH2NL	Regulatory protein gene families	0.889	0.907
NM_0004828	PLIN1	P300-CBP coactivator family	Regulatory protein gene families	0.031	0.032
NM_0005125	MESP2	POU family	Regulatory protein gene families	0.147	0.156
NM_0003575	IDH2	Rho family	Signal transducing proteins	0.029	0.031
NM_0005592	BLM	Antiporter	Transporters	0.554	0.529
NM_0007016	VPS33B	Glycine transporter	Transporters	0.524	0.536
NM_0007328	CHD2	Equilibrative nucleoside transporter family	Transporters	0.638	0.67
NM_0005182	IGF1R	ATCase/OTCase family	Transporters	0.313	0.291
NM_0002100	HBA1	Major histocompatibility complex (MHC)	Immune system proteins	0.944	0.967
NM_0008271	CCDC78	Expansin gene family	Transporters	0.657	0.695
NM_0002868	CACNA1H	Hox gene family	Regulatory protein gene families	0.131	0.126
NM_0008911	CLCN7	Peroxin	Transporters	0.76	0.724
NM_0002001	TELO2	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.325	0.32
NM_0009619	IFT140	Olfactory receptor	Signal transducing proteins	0.57	0.625
NM_0004600	TSC2	Transcription factors	Regulatory protein gene families	0.097	0.1
NM_0006097	PKD1	POU family	Regulatory protein gene families	0.969	1.027
NM_0009057	ABCA3	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.554	0.566
NM_0008850	TBC1D24	MAP Kinase	Signal transducing proteins	0.344	0.328
NM_0007165	MEFV	Kinesin	Motor proteins	0.04	0.039
NM_0007381	SLX4	Neurotransmitter transporter	Transporters	0.963	0.919
NM_0004265	CREBBP	Arf family	Signal transducing proteins	0.404	0.41
NM_0006970	GLIS2	Peroxiredoxin	Signal transducing proteins	0.948	0.903
NM_0009002	ALG1	Ion channels	Transporters	0.152	0.149
NM_0002494	PMM2	Rab family	Signal transducing proteins	0.646	0.669
NM_0007896	GRIN2A	ABC transporters	Transporters	0.914	0.99
NM_0009638	LITAF	Peroxin	Transporters	0.452	0.421
NM_0005295	ERCC4	Ras family	Signal transducing proteins	0.66	0.636
NM_0006476	MYH11	SNARE family	Transporters	0.714	0.77
NM_0003508	ABCC6	POU family	Regulatory protein gene families	0.288	0.281
NM_0003388	UMOD	Monoamine transporter	Transporters	0.448	0.434
NM_0006149	SCNN1G	Peroxin	Transporters	0.786	0.798
NM_0001008	SCNN1B	Transcription factors	Regulatory protein gene families	0.962	1.039
NM_0009405	COG7	Monoamine transporter	Transporters	0.942	0.849
NM_0008140	EARS2	Neurotransmitter transporter	Transporters	0.264	0.254
NM_0002652	PALB2	POU family	Regulatory protein gene families	0.19	0.205
NM_0003523	CD19	ATCase/OTCase family	Transporters	0.478	0.462
NM_0005043	PRRT2	Families containing homeobox domains	Regulatory protein gene families	0.309	0.337
NM_0003289	ALDOA	Rap family	Signal transducing proteins	0.624	0.641
NM_0008062	CTF1	Cyclin dependent kinases	Regulatory protein gene families	0.405	0.365
NM_0001125	HSD3B7	Hox gene family	Regulatory protein gene families	0.363	0.393
NM_0002822	FUS	Dynein	Motor proteins	0.39	0.413
NM_0008135	PHKB	Toll-like receptors	Immune system proteins	0.668	0.639
NM_0004453	ZNF423	Kinesin	Motor proteins	0.661	0.718
NM_0002216	NOD2	DHH phosphatase family	Transporters	0.808	0.843
NM_0004989	SALL1	SNARE family	Transporters	0.255	0.278
NM_0005005	RPGRIP1L	Expansin gene family	Transporters	0.911	0.968
NM_0001897	GNAO1	SOX gene family	Regulatory protein gene families	0.071	0.07
NM_0002498	SLC12A3	Toll-like receptors	Immune system proteins	0.875	0.864
NM_0001616	CETP	GATA transcription factor	Regulatory protein gene families	0.54	0.494
NM_0002570	GPR56	Papain-like protease	Transporters	0.431	0.439
NM_0002644	CNGB1	Solute carrier family	Transporters	0.605	0.665
NM_0001448	TK2	Antiporter	Transporters	0.608	0.643
NM_0009488	CDH1	GABA transporter	Transporters	0.014	0.014
NM_0008321	AARS	Glutamate transporter	Transporters	0.662	0.71
NM_0002160	DHODH	Major facilitator superfamily	Transporters	0.872	0.917
NM_0009667	FA2H	SOX gene family	Regulatory protein gene families	0.078	0.081
NM_0008003	CHST6	RIG-I like receptors	Immune system proteins	0.437	0.409
NM_0003669	TMEM231	Heat shock factor	Transporters	0.022	0.02
NM_0001032	WWOX	SOX gene family	Regulatory protein gene families	0.396	0.433
NM_0008417	GAN	MAP Kinase	Signal transducing proteins	0.629	0.662
NM_0005389	DNAAF1	FH2 protein (formin) gene family	Transporters	0.866	0.833
NM_0005445	CYBA	Receptor tyrosine kinases	Signal transducing proteins	0.089	0.086
NM_0003166	CDT1	SNARE family	Transporters	0.447	0.489
NM_0003482	GALNS	DLX gene family	Regulatory protein gene families	0.315	0.328
NM_0003830	ACSF3	Globin	Transporters	0.609	0.665
NM_0001924	CDH15	Major histocompatibility complex (MHC)	Immune system proteins	0.566	0.51
NM_0003158	SPG7	Ras family	Signal transducing proteins	0.336	0.37
NM_0007603	FANCA	Antiporter	Transporters	0.504	0.472
NM_0009524	MC1R	Major facilitator superfamily	Transporters	0.596	0.571
NM_0008815	SERPINF1	Membrane-spanning 4A	Transporters	0.717	0.702
NM_0009594	ASPA	Solute carrier family	Transporters	0.231	0.218
NM_0008178	CTNS	Pattern recognition receptor	Immune system proteins	0.934	1.016
NM_0003929	CHRNE	RIG-I like receptors	Immune system proteins	0.558	0.528
NM_0007568	ENO3	GATA transcription factor	Regulatory protein gene families	0.148	0.134
NM_0009916	AIPL1	P300-CBP coactivator family	Regulatory protein gene families	0.902	0.947
NM_0008840	PITPNM3	CDK inhibitors	Regulatory protein gene families	0.115	0.108
NM_0009399	DLG4	ABC transporters	Transporters	0.782	0.791
NM_0009425	ACADVL	Neurotransmitter transporter	Transporters	0.811	0.825
NM_0008959	CHRNB1	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.724	0.761
NM_0003793	MPDU1	POU family	Regulatory protein gene families	0.545	0.501
NM_0005861	TP53	Peroxin	Transporters	0.254	0.231
NM_0007451	WRAP53	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.162	0.169
NM_0001691	GUCY2D	Transcription factors	Regulatory protein gene families	0.121	0.131
NM_0002815	ALOX12B	Hox gene family	Regulatory protein gene families	0.283	0.309
NM_0004459	CTC1	Families containing homeobox domains	Regulatory protein gene families	0.269	0.254
NM_0001165	MYH8	Olfactory receptor	Signal transducing proteins	0.338	0.31
NM_0008379	MYH2	Antiporter	Transporters	0.908	0.918
NM_0003217	MYH3	Non-receptor tyrosine kinase	Signal transducing proteins	0.208	0.22
NM_0004949	SCO1	Toll-like receptors	Immune system proteins	0.884	0.836
NM_0008010	ELAC2	Non-receptor tyrosine kinase	Signal transducing proteins	0.94	1.017
NM_0003981	COX10	Serine/threonine-specific protein kinase	Signal transducing proteins	0.336	0.363
NM_0002624	PMP22	Major facilitator superfamily	Transporters	0.424	0.416
NM_0003083	PIGL	Solute carrier family	Transporters	0.296	0.303
NM_0004115	TNFRSF13B	MADS-box gene family	Regulatory protein gene families	0.696	0.649
NM_0006197	FLCN	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.281	0.295
NM_0008335	RAI1	Globin	Transporters	0.132	0.128
NM_0005677	MYO15A	P300-CBP coactivator family	Regulatory protein gene families	0.616	0.559
NM_0006892	B9D1	Papain-like protease	Transporters	0.061	0.057
NM_0004692	ALDH3A2	Hox gene family	Regulatory protein gene families	0.396	0.383
NM_0004521	FOXN1	General transcription factor	Regulatory protein gene families	0.345	0.333
NM_0009350	UNC119	DHH phosphatase family	Transporters	0.047	0.044
NM_0001396	NF1	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.354	0.368
NM_0002303	RAD51D	Cyclin dependent kinases	Regulatory protein gene families	0.478	0.508
NM_0004707	PEX12	DLX gene family	Regulatory protein gene families	0.024	0.026
NM_0002350	HNF1B	SOX gene family	Regulatory protein gene families	0.965	0.881
NM_0005308	TCAP	Nuclear receptor	Regulatory protein gene families	0.727	0.797
NM_0003852	CDC6	P300-CBP coactivator family	Regulatory protein gene families	0.524	0.546
NM_0006798	KRT16	NOTCH2NL	Regulatory protein gene families	0.703	0.771
NM_0009574	JUP	RIG-I like receptors	Immune system proteins	0.108	0.11
NM_0004562	FKBP10	Nuclear receptor	Regulatory protein gene families	0.844	0.866
NM_0006603	STAT3	POU family	Regulatory protein gene families	0.371	0.392
NM_0009562	NAGLU	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.327	0.306
NM_0007210	G6PC	SOX gene family	Regulatory protein gene families	0.477	0.465
NM_0002566	BRCA1	Hox gene family	Regulatory protein gene families	0.075	0.079
NM_0009339	G6PC3	Non-receptor tyrosine kinase	Signal transducing proteins	0.258	0.264
NM_0008354	SLC4A1	GABA transporter	Transporters	0.184	0.188
NM_0002288	GRN	Receptor tyrosine kinases	Signal transducing proteins	0.059	0.064
NM_0007648	ITGA2B	Ion channels	Transporters	0.437	0.428
NM_0009438	CCDC103	Rab family	Signal transducing proteins	0.865	0.945
NM_0006379	GFAP	Cyclins	Regulatory protein gene families	0.791	0.779
NM_0007566	MAPT	Major histocompatibility complex (MHC)	Immune system proteins	0.327	0.341
NM_0003700	GOSR2	Heat shock factor	Transporters	0.291	0.303
NM_0003389	ITGB3	Bacterial potassium transporter	Transporters	0.939	1.026
NM_0007214	PNPO	SRC kinase family	Signal transducing proteins	0.758	0.687
NM_0005468	HOXB13	FH2 protein (formin) gene family	Transporters	0.911	0.831
NM_0004045	SGCA	DLX gene family	Regulatory protein gene families	0.964	1.054
NM_0007527	RAD51C	FH2 protein (formin) gene family	Transporters	0.756	0.805
NM_0008589	TBX4	SNARE family	Transporters	0.527	0.506
NM_0001809	ACE	NOTCH2NL	Regulatory protein gene families	0.023	0.022
NM_0006573	TACO1	Non-receptor tyrosine kinase	Signal transducing proteins	0.589	0.574
NM_0007053	GH1	CDK inhibitors	Regulatory protein gene families	0.49	0.503
NM_0004888	SCN4A	Toll-like receptors	Immune system proteins	0.701	0.748
NM_0006538	POLG2	Olfactory receptor	Signal transducing proteins	0.124	0.132
NM_0009311	KCNJ2	14-3-3 protein family	Regulatory protein gene families	0.097	0.102
NM_0009532	COG1	Protocadherin gene family	Transporters	0.355	0.321
NM_0002479	DNAI2	Rho family	Signal transducing proteins	0.345	0.352
NM_0004535	SLC9A3R1	ATCase/OTCase family	Transporters	0.035	0.036
NM_0008848	TSEN54	Myosin	Motor proteins	0.015	0.015
NM_0009474	ITGB4	MAP Kinase	Signal transducing proteins	0.318	0.332
NM_0008105	GALK1	GABA transporter	Transporters	0.282	0.288
NM_0008750	UNC13D	Solute carrier family	Transporters	0.696	0.762
